시도,시군구,개등록,고양이등록,총등록
서울특별시,강남구,34402,441,34843
서울특별시,강동구,25292,223,25515
서울특별시,강북구,18444,141,18585
서울특별시,강서구,33280,356,33636
서울특별시,관악구,26027,381,26408
서울특별시,광진구,19926,346,20272
서울특별시,구로구,19179,233,19412
서울특별시,금천구,12791,134,12925
서울특별시,노원구,26942,196,27138
서울특별시,도봉구,19726,147,19873
서울특별시,동대문구,18747,327,19074
서울특별시,동작구,18146,363,18509
서울특별시,마포구,22735,706,23441
서울특별시,서대문구,17414,367,17781
서울특별시,서초구,23515,271,23786
서울특별시,성동구,16634,255,16889
서울특별시,성북구,23921,279,24200
서울특별시,송파구,33396,310,33706
서울특별시,양천구,23533,237,23770
서울특별시,영등포구,18695,302,18997
서울특별시,용산구,17366,394,17760
서울특별시,은평구,27690,315,28005
서울특별시,종로구,9386,191,9577
서울특별시,중구,7841,201,8042
서울특별시,중랑구,22856,162,23018
부산광역시,강서구,6348,26,6374
부산광역시,금정구,11646,53,11699
부산광역시,기장군,10099,27,10126
부산광역시,남구,17655,115,17770
부산광역시,동구,6111,17,6128
부산광역시,동래구,15277,56,15333
부산광역시,부산진구,20551,101,20652
부산광역시,북구,13754,50,13804
부산광역시,사상구,10366,29,10395
부산광역시,사하구,17669,31,17700
부산광역시,서구,7083,18,7101
부산광역시,수영구,11817,79,11896
부산광역시,연제구,11175,36,11211
부산광역시,영도구,7244,78,7322
부산광역시,중구,3213,24,3237
부산광역시,해운대구,25980,114,26094
대구광역시,남구,10249,77,10326
대구광역시,달서구,29463,185,29648
대구광역시,달성군,12138,156,12294
대구광역시,동구,17977,120,18097
대구광역시,북구,21203,191,21394
대구광역시,서구,10480,75,10555
대구광역시,수성구,21878,204,22082
대구광역시,중구,4836,53,4889
인천광역시,강화군,4477,15,4492
인천광역시,계양구,20670,106,20776
인천광역시,남동구,35709,121,35830
인천광역시,동구,4528,8,4536
인천광역시,미추홀구,31146,105,31251
인천광역시,부평구,36212,163,36375
인천광역시,서구,37872,138,38010
인천광역시,연수구,22124,103,22227
인천광역시,옹진군,470,5,475
인천광역시,중구,9675,130,9805
광주광역시,광산구,20503,116,20619
광주광역시,남구,9391,65,9456
광주광역시,동구,4455,34,4489
광주광역시,북구,20300,139,20439
광주광역시,서구,14793,56,14849
세종특별자치시,세종특별자치시,14670,337,15007
세종특별자치시,조치원읍,0,0,0
대전광역시,대덕구,11859,134,11993
대전광역시,동구,14620,202,14822
대전광역시,서구,31950,389,32339
대전광역시,유성구,19774,321,20095
대전광역시,중구,16522,139,16661
울산광역시,남구,16468,95,16563
울산광역시,동구,7897,45,7942
울산광역시,북구,9673,33,9706
울산광역시,울주군,13002,61,13063
울산광역시,중구,10797,40,10837
경기도,가평군,6324,37,6361
경기도,고양시,73953,799,74752
경기도,과천시,2894,47,2941
경기도,광명시,20973,118,21091
경기도,광주시,28452,400,28852
경기도,구리시,12368,121,12489
경기도,군포시,15432,178,15610
경기도,김포시,30911,217,31128
경기도,남양주시,50994,456,51450
경기도,동두천시,7283,41,7324
경기도,부천시,55995,448,56443
경기도,성남시,59674,793,60467
경기도,수원시,75009,766,75775
경기도,시흥시,36772,197,36969
경기도,안산시,48025,796,48821
경기도,안성시,12390,161,12551
경기도,안양시,36736,288,37024
경기도,양주시,15301,104,15405
경기도,양평군,12925,139,13064
경기도,여주군,10,0,10
경기도,여주시,7742,23,7765
경기도,연천군,2313,12,2325
경기도,오산시,15114,92,15206
경기도,용인시,66533,812,67345
경기도,의왕시,8088,99,8187
경기도,의정부시,31007,226,31233
경기도,이천시,13285,83,13368
경기도,파주시,34164,283,34447
경기도,평택시,37182,475,37657
경기도,포천시,13509,71,13580
경기도,하남시,17412,203,17615
경기도,화성시,49820,468,50288
강원도,강릉시,13521,26,13547
강원도,고성군,1431,5,1436
강원도,동해시,4564,2,4566
강원도,삼척시,3075,1,3076
강원도,속초시,6803,31,6834
강원도,양구군,1558,5,1563
강원도,양양군,2185,6,2191
강원도,영월군,1584,1,1585
강원도,원주시,24558,288,24846
강원도,인제군,1519,3,1522
강원도,정선군,2145,0,2145
강원도,철원군,3230,9,3239
강원도,춘천시,20108,71,20179
강원도,태백시,2327,2,2329
강원도,평창군,1550,5,1555
강원도,홍천군,4079,4,4083
강원도,화천군,1665,3,1668
강원도,횡성군,2188,7,2195
충청북도,괴산군,2721,9,2730
충청북도,단양군,1756,0,1756
충청북도,보은군,1636,4,1640
충청북도,영동군,1650,3,1653
충청북도,옥천군,2958,9,2967
충청북도,음성군,5630,17,5647
충청북도,제천시,7551,14,7565
충청북도,증평군,2181,11,2192
충청북도,진천군,5630,15,5645
충청북도,청원군,87,0,87
충청북도,청주시,46216,596,46812
충청북도,충주시,14714,19,14733
충청남도,계룡시,2408,3,2411
충청남도,공주시,4941,84,5025
충청남도,금산군,2083,4,2087
충청남도,논산시,8044,14,8058
충청남도,당진군,1,0,1
충청남도,당진시,9763,31,9794
충청남도,보령시,4471,60,4531
충청남도,부여군,3024,3,3027
충청남도,서산시,8604,21,8625
충청남도,서천군,1336,4,1340
충청남도,아산시,21104,204,21308
충청남도,예산군,6324,30,6354
충청남도,천안시,37356,378,37734
충청남도,청양군,867,2,869
충청남도,태안군,2718,5,2723
충청남도,홍성군,4832,10,4842
전라북도,고창군,1818,4,1822
전라북도,군산시,14293,31,14324
전라북도,김제시,4171,10,4181
전라북도,남원시,2938,39,2977
전라북도,무주군,1033,1,1034
전라북도,부안군,1413,1,1414
전라북도,순창군,733,0,733
전라북도,완주군,4588,11,4599
전라북도,익산시,13486,40,13526
전라북도,임실군,873,4,877
전라북도,장수군,779,0,779
전라북도,전주시,31168,252,31420
전라북도,정읍시,4981,25,5006
전라북도,진안군,1138,3,1141
전라남도,강진군,2107,0,2107
전라남도,고흥군,2855,8,2863
전라남도,곡성군,2491,0,2491
전라남도,광양시,6567,3,6570
전라남도,구례군,1772,6,1778
전라남도,나주시,4755,41,4796
전라남도,담양군,4976,1,4977
전라남도,목포시,10679,11,10690
전라남도,무안군,2894,2,2896
전라남도,보성군,2648,3,2651
전라남도,순천시,15047,4,15051
전라남도,신안군,609,0,609
전라남도,여수시,11702,9,11711
전라남도,영광군,2018,1,2019
전라남도,영암군,2347,1,2348
전라남도,완도군,1253,3,1256
전라남도,장성군,1801,6,1807
전라남도,장흥군,2673,6,2679
전라남도,진도군,2213,1,2214
전라남도,함평군,2364,3,2367
전라남도,해남군,4869,2,4871
전라남도,화순군,2725,5,2730
경상북도,경산시,13169,53,13222
경상북도,경주시,11001,375,11376
경상북도,고령군,1124,3,1127
경상북도,구미시,22771,39,22810
경상북도,군위군,458,2,460
경상북도,김천시,5699,13,5712
경상북도,문경시,4801,23,4824
경상북도,봉화군,604,0,604
경상북도,상주시,3859,3,3862
경상북도,성주군,1674,11,1685
경상북도,안동시,7084,3,7087
경상북도,영덕군,1080,1,1081
경상북도,영양군,585,0,585
경상북도,영주시,3883,5,3888
경상북도,영천시,3830,9,3839
경상북도,예천군,1904,0,1904
경상북도,울릉군,157,0,157
경상북도,울진군,2560,2,2562
경상북도,의성군,1270,3,1273
경상북도,청도군,1560,6,1566
경상북도,청송군,716,2,718
경상북도,칠곡군,7235,41,7276
경상북도,포항시,24191,267,24458
경상남도,거제시,13524,61,13585
경상남도,거창군,2717,14,2731
경상남도,고성군,3693,5,3698
경상남도,김해시,29279,162,29441
경상남도,남해군,1450,3,1453
경상남도,밀양시,5814,25,5839
경상남도,사천시,5434,22,5456
경상남도,산청군,1052,0,1052
경상남도,양산시,18369,76,18445
경상남도,의령군,969,2,971
경상남도,진주시,16493,119,16612
경상남도,창녕군,2645,7,2652
경상남도,창원 마산합포회원구,17119,108,17227
경상남도,창원 의창성산구,23204,141,23345
경상남도,창원 진해구,10939,30,10969
경상남도,통영시,7769,48,7817
경상남도,하동군,1706,8,1714
경상남도,함안군,2704,20,2724
경상남도,함양군,1537,3,1540
경상남도,합천군,1704,1,1705
제주특별자치도,서귀포시,13367,466,13833
제주특별자치도,제주시,39440,2499,41939
